,CityID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
401,3665315,Anori,-3.7728,-61.6442,72.7,99,98,1.81,BR,1672970748
402,300617,Sivas Province,39.7916,37.0019,23.63,86,0,3.44,TR,1672970748
403,2065594,Mount Isa,-20.7333,139.5,85.77,39,75,9.22,AU,1672970489
404,1806687,Yong’an,39.6957,113.6871,23.7,46,0,20.24,CN,1672970749
405,174448,Abu Kamal,34.4506,40.9171,48.51,64,0,6.15,SY,1672970749
406,503499,Pyatnitskoye,50.4233,37.8273,37.15,100,100,6.73,RU,1672970750
407,2303611,Esim,4.8699,-2.2405,77.94,79,99,4.45,GH,1672970750
408,2384377,Mongoumba,3.6415,18.5936,77.07,42,94,1.28,CF,1672970544
409,3402648,Carutapera,-1.195,-46.02,76.77,85,89,6.6,BR,1672970751
410,2377457,Nouadhibou,20.931,-17.0347,67.46,51,0,14.41,MR,1672970751
411,6620467,St-Jean-Port-Joli,47.2171,-70.2658,19.8,93,100,13.33,CA,1672970751
412,1626542,Sorong,-0.8833,131.25,83.55,76,100,9.53,ID,1672970752
413,4033557,Tautira,-17.7333,-149.15,79.68,74,84,9.01,PF,1672970464
414,3391412,Portel,-1.9356,-50.8211,73.96,94,100,3.58,BR,1672970752
415,1692364,Puro,12.4841,123.3827,77.32,89,100,13.38,PH,1672970753
416,5656882,Helena,46.5927,-112.0361,32.99,88,100,1.01,US,1672970753
417,2027316,Ayan,56.45,138.1667,-1.3,75,1,8.41,RU,1672970753
418,3985168,San Patricio,19.2167,-104.7,78.91,78,40,6.91,MX,1672970754
419,4852640,Coralville,41.6764,-91.5805,30.43,82,100,12.66,US,1672970754
420,1519928,Kostanay,53.1667,63.5833,8.89,92,100,0.0,KZ,1672970754
421,3357804,Eenhana,-17.4667,16.3333,66.0,43,95,4.74,NA,1672970755
422,6149374,Slave Lake,55.2834,-114.769,23.11,77,100,15.03,CA,1672970639
423,3394023,Natal,-5.795,-35.2094,77.65,88,40,5.75,BR,1672970460
424,255945,Panaitolio,38.5833,21.45,42.51,91,24,3.06,GR,1672970755
425,2302357,Cape Coast,5.1053,-1.2466,78.28,81,94,7.56,GH,1672970756
426,3893629,Coquimbo,-29.9533,-71.3436,64.13,77,0,5.75,CL,1672970756
427,3351663,Benguela,-12.5763,13.4055,76.37,82,100,5.03,AO,1672970756
428,3698359,Chicama,-7.8447,-79.1469,64.94,74,97,5.41,PE,1672970721
429,2036959,Heishan,41.6892,122.1128,28.36,76,56,0.89,CN,1672970757
430,1790437,Zhuhai,22.2769,113.5678,69.85,77,0,13.8,CN,1672970757
431,3832899,Viedma,-40.8135,-62.9967,71.98,53,5,17.58,AR,1672970758
432,2121373,Seymchan,62.8833,152.4333,-43.55,98,71,0.6,RU,1672970758
433,2630299,Hofn,64.2539,-15.2082,32.38,81,100,15.26,IS,1672970758
434,2013216,Vysokogornyy,50.1167,139.15,1.58,88,96,3.71,RU,1672970759
435,5877641,Wasilla,61.5814,-149.4394,24.3,76,20,5.75,US,1672970509
436,1528998,Yumen,40.2833,97.2,25.09,30,1,4.54,CN,1672970759
